iter	Passed	Remaining
560	17863	13978
561	17912	13960
562	17953	13935
563	17997	13912
564	18038	13887
565	18080	13863
566	18129	13845
567	18173	13822
568	18211	13794
569	18249	13766
570	18282	13735
571	18314	13704
572	18345	13670
573	18376	13638
574	18406	13604
575	18436	13571
576	18467	13538
577	18510	13514
578	18547	13486
579	18594	13465
580	18637	13441
581	18682	13418
582	18726	13394
583	18779	13377
584	18833	13360
585	18876	13336
586	18924	13314
587	18967	13290
588	19014	13267
589	19055	13242
590	19101	13219
591	19143	13193
592	19188	13169
593	19234	13146
594	19267	13115
595	19298	13081
596	19329	13047
597	19358	13013
598	19388	12979
599	19417	12944
600	19448	12911
601	19477	12877
602	19505	12841
603	19535	12808
604	19566	12774
605	19599	12742
606	19629	12708
607	19660	12675
608	19691	12642
609	19724	12610
610	19757	12578
611	19789	12546
612	19821	12513
613	19854	12481
614	19885	12448
615	19914	12414
616	19944	12380
617	19972	12345
618	20003	12312
619	20032	12277
620	20060	12242
621	20089	12208
622	20120	12175
623	20150	12142
624	20181	12108
625	20212	12076
626	20244	12043
627	20274	12009
628	20305	11976
629	20335	11943
630	20365	11909
631	20393	11874
632	20423	11841
633	20454	11808
634	20484	11774
635	20514	11741
636	20545	11708
637	20575	11674
638	20605	11640
639	20633	11606
640	20663	11573
641	20693	11539
642	20725	11506
643	20757	11474
644	20788	11441
645	20820	11409
646	20851	11376
647	20881	11342
648	20911	11309
649	20941	11275
650	20968	11241
651	20996	11206
652	21026	11173
653	21056	11139
654	21083	11105
655	21110	11070
656	21138	11035
657	21169	11003
658	21199	10969
659	21229	10936
660	21260	10903
661	21290	10870
662	21319	10836
663	21350	10803
664	21380	10770
665	21410	10737
666	21440	10704
667	21469	10670
668	21499	10637
669	21531	10605
670	21561	10571
671	21591	10538
672	21622	10505
673	21652	10472
674	21683	10440
675	21714	10407
676	21745	10374
677	21774	10341
678	21805	10308
679	21835	10275
680	21865	10242
681	21897	10210
682	21927	10177
683	21957	10144
684	21989	10111
685	22019	10078
686	22049	10045
687	22080	10013
688	22110	9980
689	22141	9947
690	22170	9914
691	22200	9881
692	22231	9848
693	22261	9815
694	22290	9782
695	22321	9749
696	22351	9716
697	22382	9684
698	22413	9651
699	22441	9617
700	22470	9584
701	22497	9550
702	22528	9517
703	22557	9484
704	22588	9451
705	22618	9419
706	22647	9385
707	22678	9353
708	22709	9320
709	22739	9287
710	22769	9255
711	22801	9222
712	22831	9190
713	22862	9157
714	22890	9124
715	22919	9091
716	22950	9058
717	22981	9026
718	23013	8993
719	23043	8961
720	23073	8928
721	23104	8896
722	23135	8863
723	23167	8831
724	23197	8799
725	23229	8766
726	23258	8733
727	23288	8701
728	23319	8668
729	23348	8635
730	23378	8603
731	23407	8569
732	23438	8537
733	23469	8505
734	23500	8473
735	23531	8440
736	23562	8408
737	23590	8375
738	23620	8342
739	23650	8309
740	23681	8277
741	23712	8245
742	23743	8212
743	23774	8180
744	23803	8147
745	23833	8114
746	23864	8082
747	23894	8050
748	23924	8017
749	23954	7984
750	23984	7952
751	24015	7920
752	24046	7887
753	24078	7855
754	24107	7822
755	24137	7790
756	24167	7757
757	24198	7725
758	24229	7693
759	24260	7661
760	24291	7629
761	24322	7596
762	24353	7564
763	24383	7532
764	24413	7499
765	24445	7467
766	24476	7435
767	24507	7403
768	24537	7370
769	24567	7338
770	24596	7305
771	24624	7272
772	24655	7240
773	24686	7208
774	24717	7176
775	24748	7143
776	24779	7111
777	24809	7079
778	24838	7046
779	24869	7014
780	24899	6982
781	24929	6949
782	24961	6917
783	24991	6885
784	25022	6853
785	25050	6820
786	25080	6787
787	25107	6754
788	25136	6722
789	25167	6690
790	25198	6657
791	25228	6625
792	25259	6593
793	25288	6561
794	25319	6528
795	25348	6496
796	25378	6464
797	25408	6431
798	25439	6399
799	25469	6367
800	25500	6335
801	25530	6303
802	25560	6270
803	25588	6237
